Description,Bioregion,Exclude,AsiaNative,Also_nontrop
maluku salawatti,Maluku,0,1,0
maluku saonek,Maluku,0,1,0
maluku ternate,Maluku,0,1,0
molucas amboina,Maluku,0,1,0
molucas ceram,Maluku,0,1,0
molucca islands,Maluku,0,1,0
mount uncarya,Maluku,0,1,0
oriental region: indonesia,Maluku,0,1,0
s amboina,Maluku,0,1,0
s indonesia  buru,Maluku,0,1,0
solea,Maluku,0,1,0
sula,Maluku,0,1,0
sula island,Maluku,0,1,0
sula islands,Maluku,0,1,0
asai: japan,NA,0,0,1
asia,NA,0,0,1
asia china,NA,0,0,1
asia: ?,NA,0,0,1
asia: ?japan ?kyushu,NA,0,0,1
asia: japan,NA,0,0,1
asia: japan: oriental region,NA,0,0,1
australia queensland borneo? hermann 1909,NA,0,0,1
chian,NA,0,0,1
china,NA,0,0,1
china including tibet,NA,0,0,1
china japan,NA,0,0,1
cosmotropical? madagascar,NA,0,0,1
east asia,NA,0,0,1
europe: ?asia: ?mongolia: ?nepal,NA,0,0,1
japan,NA,0,0,1
japan china,NA,0,0,1
japan russia,NA,0,0,1
n or,NA,0,0,1
n or reg,NA,0,0,1
n w himalayas,NA,0,0,1
nt regs,NA,0,0,1
or ne,NA,0,0,1
pacific,NA,0,0,1
pacific reg,NA,0,0,1
pacific regions,NA,0,0,1
papua bougainville island,NA,0,0,0
papua guinea  bougainville island,NA,0,0,0
papua new guinea bougainville island,NA,0,0,0
probably afrotropical or oriental region,NA,0,0,1
ryukyu islands amami,NA,0,0,0
sometimes subtropical,NA,0,0,1
sw asia,NA,0,0,1
w asia,NA,0,0,1
widesp china,NA,0,0,1
widesp japan,NA,0,0,1
e and se asia,Unknown,0,1,1
east indies,Unknown,0,1,0
east indies = ?indonesia,Unknown,0,1,0
egypt widespread oriental,Unknown,0,1,1
entire oriental region,Unknown,0,1,1
entire se asia,Unknown,0,1,0
hinterindien,Unknown,0,1,0
india or indonesia java?,Unknown,0,1,0
india or java,Unknown,0,1,0
or,Unknown,0,1,1
or reg,Unknown,0,1,1
orient,Unknown,0,1,1
oriental,Unknown,0,1,1
oriental and australian regions,Unknown,0,1,1
oriental reg,Unknown,0,1,1
oriental reg australia,Unknown,0,1,1
oriental reg japan,Unknown,0,1,1
oriental region,Unknown,0,1,1
oriental regions,Unknown,0,1,1
orientl reg,Unknown,0,1,1
oriento-austral,Unknown,0,1,1
oriento-austral reg,Unknown,0,1,1
oriento-australasian reg,Unknown,0,1,1
polytropical,Unknown,0,1,1
probably indonesia,Unknown,0,1,0
probably oriental,Unknown,0,1,1
s asia,Unknown,0,1,0
s indonesia,Unknown,0,1,0
s&e or,Unknown,0,1,1
sasia,Unknown,0,1,0
se asia,Unknown,0,1,0
se or,Unknown,0,1,0
seashores everywhere,Unknown,0,1,1
southeast asia,Unknown,0,1,0
southern oriental region,Unknown,0,1,0
sthn asia,Unknown,0,1,0
subtropical except in neotropics,Unknown,0,1,1
subtropical except neotropical region,Unknown,0,1,1
subtropics,Unknown,0,1,1
throughout oriental region,Unknown,0,1,1
throughout se asia,Unknown,0,1,0
thru oriental region,Unknown,0,1,1
tropical,Unknown,0,1,1
tropicolpolitan,Unknown,0,1,1
tropics,Unknown,0,1,1
virtually cosmopolitan,Unknown,0,1,1
widesp,Unknown,0,1,1
widesp au and or,Unknown,0,1,1
widesp or,Unknown,0,1,1
widesp or and bordering areas of pa  afghanistan,Unknown,0,1,1
widesp oriental reg,Unknown,0,1,1
widesp oriental region,Unknown,0,1,1
widespread,Unknown,0,1,1
widespread in asia,Unknown,0,1,1
widespread in oriental and african regions,Unknown,0,1,1
widespread in oriental and australian regions,Unknown,0,1,1
widespread in s pacific and s asia,Unknown,0,1,1
widespread in se asia,Unknown,0,1,0
widespread mediterranean subregion to oriental reg,Unknown,0,1,1
widespread orient,Unknown,0,1,1
widespread oriental,Unknown,0,1,1
widespread oriental and australasian,Unknown,0,1,1
widespread oriental reg,Unknown,0,1,1
widespread oriental region,Unknown,0,1,1
widley distributed in the oriental region,Unknown,0,1,1
with domestic bees apis mellitifera,Unknown,0,1,1
worldwide,Unknown,0,1,1
?,NA,1,NA,NA
? malaysia peninsular,NA,1,NA,NA
? taiwan,NA,1,NA,NA
?andaman islands,NA,1,NA,NA
?bhutan,NA,1,NA,NA
?bismarck archipelago,NA,1,NA,NA
?borneo,NA,1,NA,NA
?china,NA,1,NA,NA
?ethiopian,NA,1,NA,NA
?fiji,NA,1,NA,NA
?flores,NA,1,NA,NA
?hainan island,NA,1,NA,NA
?india,NA,1,NA,NA
?india 'hindostan',NA,1,NA,NA
?india assam,NA,1,NA,NA
?india himachal pradesh,NA,1,NA,NA
?india madras,NA,1,NA,NA
?india w bengal,NA,1,NA,NA
?indochina,NA,1,NA,NA
?indonesia,NA,1,NA,NA
?japan,NA,1,NA,NA
?java,NA,1,NA,NA
?laos,NA,1,NA,NA
?lombok,NA,1,NA,NA
?malaysia peninsular,NA,1,NA,NA
?maluku,NA,1,NA,NA
?maluku amboina,NA,1,NA,NA
?myanmar,NA,1,NA,NA
?nepal,NA,1,NA,NA
?new guinea,NA,1,NA,NA
?nicobar islands,NA,1,NA,NA
?oriental,NA,1,NA,NA
?philippines,NA,1,NA,NA
?philippines leyte,NA,1,NA,NA
?philippines luzon,NA,1,NA,NA
?philippines palawan,NA,1,NA,NA
?png bismarck arch,NA,1,NA,NA
?png png,NA,1,NA,NA
?se asia,NA,1,NA,NA
?singapore,NA,1,NA,NA
?sri lanka,NA,1,NA,NA
?sulawesi,NA,1,NA,NA
?sumatra,NA,1,NA,NA
?taiwan,NA,1,NA,NA
?thailand,NA,1,NA,NA
?timor,NA,1,NA,NA
?vietnam,NA,1,NA,NA
'india' ?india or pakistan,NA,1,NA,NA
10 miles ne of trivandrum,NA,1,NA,NA
20 mi northeast of trivandrum,NA,1,NA,NA
2100 m,NA,1,NA,NA
3>dg19>mn32>scn 101>dg45>mn16>sce,NA,1,NA,NA
4000 ft,NA,1,NA,NA
50 km e of jesselton,NA,1,NA,NA
a,NA,1,NA,NA
boeton,NA,1,NA,NA
bokaihunde,NA,1,NA,NA
borneo?,NA,1,NA,NA
c,NA,1,NA,NA
central,NA,1,NA,NA
e,NA,1,NA,NA
eastern,NA,1,NA,NA
excluding malaysia,NA,1,NA,NA
hot springs,NA,1,NA,NA
huam,NA,1,NA,NA
immigrant,NA,1,NA,NA
india or w pakistan,NA,1,NA,NA
india?,NA,1,NA,NA
india' ?india or pakistan,NA,1,NA,NA
indonesia ?,NA,1,NA,NA
indonesia java?,NA,1,NA,NA
indonesia palau,NA,1,NA,NA
irian jaya ?,NA,1,NA,NA
islands,NA,1,NA,NA
japan?,NA,1,NA,NA
laguna,NA,1,NA,NA
lake bratan,NA,1,NA,NA
lake caliraya,NA,1,NA,NA
lake diatas area,NA,1,NA,NA
lake dibawah area,NA,1,NA,NA
lake mala,NA,1,NA,NA
maluku ?,NA,1,NA,NA
mayala,NA,1,NA,NA
n,NA,1,NA,NA
ne,NA,1,NA,NA
nepal ?,NA,1,NA,NA
new guinea?,NA,1,NA,NA
nissan island,NA,1,NA,NA
nn for sciara orientalis brunetti,NA,1,NA,NA
north,NA,1,NA,NA
not estab,NA,1,NA,NA
notestab,NA,1,NA,NA
old,NA,1,NA,NA
oriental?,NA,1,NA,NA
philippines ?luzon,NA,1,NA,NA
philippines ?mindanao,NA,1,NA,NA
philippines?,NA,1,NA,NA
png ?,NA,1,NA,NA
southern region,NA,1,NA,NA
sunda,NA,1,NA,NA
taiwan ?,NA,1,NA,NA
taiwan?,NA,1,NA,NA
tamaon island,NA,1,NA,NA
thailand?,NA,1,NA,NA
type locality not given,NA,1,NA,NA
unknown,NA,1,NA,NA
unknown not given,NA,1,NA,NA
vietnam?,NA,1,NA,NA
west,NA,1,NA,NA
yuhuadong cave,NA,1,NA,NA
australia ne new guinea,New_Guinea,0,1,0
dyaul,New_Guinea,0,1,0
indoensia,New_Guinea,0,1,0
indoesia,New_Guinea,0,1,0
indon esia,New_Guinea,0,1,0
indonesia,New_Guinea,0,1,0
indonesia irian,New_Guinea,0,1,0
indonesia irian jaya,New_Guinea,0,1,0
indonesia papua,New_Guinea,0,1,0
indonesia west papua,New_Guinea,0,1,0
"indonesia,philippines",New_Guinea,0,1,0
irian jaya,New_Guinea,0,1,0
kiriwina is,New_Guinea,0,1,0
maluku mysol,New_Guinea,0,1,0
maluku waigeo,New_Guinea,0,1,0
manus,New_Guinea,0,1,0
mysol,New_Guinea,0,1,0
ne new guinea,New_Guinea,0,1,0
nea guinea,New_Guinea,0,1,0
new britain,New_Guinea,0,1,0
new guina,New_Guinea,0,1,0
new guinea,New_Guinea,0,1,0
new guinea irian jaya,New_Guinea,0,1,0
new guinea orig type loc,New_Guinea,0,1,0
new guinea png,New_Guinea,0,1,0
new guinra,New_Guinea,0,1,0
new guniea,New_Guinea,0,1,0
new ireland,New_Guinea,0,1,0
oriental region: indonesia,New_Guinea,0,1,0
papua guinea  bismarck archipelago,New_Guinea,0,1,0
papua new guine a,New_Guinea,0,1,0
papua new guinea,New_Guinea,0,1,0
papua new guinea bismark archipelago,New_Guinea,0,1,0
papua new guinea papua new guinea,New_Guinea,0,1,0
papua papua new guinea,New_Guinea,0,1,0
papuan,New_Guinea,0,1,0
papuan subregion,New_Guinea,0,1,0
pismarck islands,New_Guinea,0,1,0
png,New_Guinea,0,1,0
png bismarck arch,New_Guinea,0,1,0
png png,New_Guinea,0,1,0
png png indonesia java,New_Guinea,0,1,0
s mysol,New_Guinea,0,1,0
s new guiana irian jaya,New_Guinea,0,1,0
west irian,New_Guinea,0,1,0
balabac,Palawan,0,1,0
brooks's point,Palawan,0,1,0
estrella falls,Palawan,0,1,0
india w bengal philippines,Palawan,0,1,0
"indonesia,philippines",Palawan,0,1,0
java balabac,Palawan,0,1,0
java palawan,Palawan,0,1,0
java philippines,Palawan,0,1,0
mantalingajan,Palawan,0,1,0
NA palawan,Palawan,0,1,0
palawan,Palawan,0,1,0
pasadenia,Palawan,0,1,0
phiippines,Palawan,0,1,0
phil ippines,Palawan,0,1,0
phili ppines,Palawan,0,1,0
philiipines,Palawan,0,1,0
philipines,Palawan,0,1,0
philipnes,Palawan,0,1,0
philippines,Palawan,0,1,0
philippines {palawan,Palawan,0,1,0
philippines balabac,Palawan,0,1,0
philippines busuanga,Palawan,0,1,0
philippines culion,Palawan,0,1,0
philippines culion island,Palawan,0,1,0
philippines mindanao sumatra,Palawan,0,1,0
philippines palawan,Palawan,0,1,0
philippines plawan,Palawan,0,1,0
philippines vietnam,Palawan,0,1,0
"philippines,",Palawan,0,1,0
"philippines,sumatra",Palawan,0,1,0
philippiness,Palawan,0,1,0
philippins palawan,Palawan,0,1,0
philipppines,Palawan,0,1,0
phillipines,Palawan,0,1,0
philppines palawan,Palawan,0,1,0
phlippines palawan,Palawan,0,1,0
port barton,Palawan,0,1,0
sabang,Palawan,0,1,0
sabsaban falls,Palawan,0,1,0
san rafael,Palawan,0,1,0
taiwan philippines,Palawan,0,1,0
agusan,Philippines,0,1,0
apo mountain,Philippines,0,1,0
aroroy,Philippines,0,1,0
basilan,Philippines,0,1,0
biliran,Philippines,0,1,0
bohol ?i,Philippines,0,1,0
camarines sur,Philippines,0,1,0
china luzon,Philippines,0,1,1
china mindanao,Philippines,0,1,1
dalawan bay,Philippines,0,1,0
dalton pass,Philippines,0,1,0
davao,Philippines,0,1,0
downsiomyia,Philippines,0,1,0
e philippines,Philippines,0,1,0
ifugao,Philippines,0,1,0
india w bengal philippines,Philippines,0,1,0
"indonesia,philippines",Philippines,0,1,0
java luzon,Philippines,0,1,0
java mindanao,Philippines,0,1,0
java philippines,Philippines,0,1,0
lake balinsasayao,Philippines,0,1,0
leyte,Philippines,0,1,0
los arcos,Philippines,0,1,0
los banos,Philippines,0,1,0
luzon,Philippines,0,1,0
manila,Philippines,0,1,0
masawan,Philippines,0,1,0
masbate,Philippines,0,1,0
mayoyao,Philippines,0,1,0
mindana,Philippines,0,1,0
mindanao,Philippines,0,1,0
mount iriga,Philippines,0,1,0
mount makiling,Philippines,0,1,0
mountain province,Philippines,0,1,0
mt mayon,Philippines,0,1,0
mt talomo,Philippines,0,1,0
NA luzon,Philippines,0,1,0
negros,Philippines,0,1,0
nueva vizcaya,Philippines,0,1,0
palaw,Philippines,0,1,0
phiippines,Philippines,0,1,0
phiippines luzon,Philippines,0,1,0
phil ippines,Philippines,0,1,0
phili ppines,Philippines,0,1,0
philiipines,Philippines,0,1,0
philipines,Philippines,0,1,0
philipines luzon,Philippines,0,1,0
philipines mindanao,Philippines,0,1,0
philipnes,Philippines,0,1,0
philippinea luzon,Philippines,0,1,0
philippinea mindanao,Philippines,0,1,0
philippinea tawi tawi,Philippines,0,1,0
philippines,Philippines,0,1,0
philippines alabat,Philippines,0,1,0
philippines antique,Philippines,0,1,0
philippines bantayan,Philippines,0,1,0
philippines basilan,Philippines,0,1,0
philippines biliran,Philippines,0,1,0
philippines biliran island,Philippines,0,1,0
philippines bohol,Philippines,0,1,0
philippines camiguin,Philippines,0,1,0
philippines cataduanes,Philippines,0,1,0
philippines cebu,Philippines,0,1,0
philippines guimaras,Philippines,0,1,0
philippines iloilo,Philippines,0,1,0
philippines jolo i,Philippines,0,1,0
philippines leyete,Philippines,0,1,0
philippines leyte,Philippines,0,1,0
philippines luzon,Philippines,0,1,0
philippines luzon: laguna,Philippines,0,1,0
philippines luzon},Philippines,0,1,0
philippines masbate,Philippines,0,1,0
philippines mindanao,Philippines,0,1,0
philippines mindanao sumatra,Philippines,0,1,0
philippines mindano,Philippines,0,1,0
philippines mindoro,Philippines,0,1,0
"philippines mindoro,samar",Philippines,0,1,0
philippines negros,Philippines,0,1,0
philippines negros camiguin,Philippines,0,1,0
philippines negros oriental,Philippines,0,1,0
philippines panay,Philippines,0,1,0
philippines polillo,Philippines,0,1,0
philippines samar,Philippines,0,1,0
philippines siargao,Philippines,0,1,0
philippines sibuyan,Philippines,0,1,0
philippines sulu,Philippines,0,1,0
philippines sulu is,Philippines,0,1,0
philippines surigao,Philippines,0,1,0
philippines tablas,Philippines,0,1,0
philippines tawi tawi,Philippines,0,1,0
philippines tawi-tawi,Philippines,0,1,0
philippines vietnam,Philippines,0,1,0
"philippines,",Philippines,0,1,0
"philippines,sumatra",Philippines,0,1,0
philippines: china,Philippines,0,1,1
philippiness,Philippines,0,1,0
philipppines,Philippines,0,1,0
phillipines,Philippines,0,1,0
phlippines leyte,Philippines,0,1,0
phlippines luzon,Philippines,0,1,0
phlippines mindanao,Philippines,0,1,0
samar,Philippines,0,1,0
taiwan philippines,Philippines,0,1,0
tawi taiw,Philippines,0,1,0
tawi tawi,Philippines,0,1,0
ulanguan,Philippines,0,1,0
zamboanga del norte,Philippines,0,1,0
bonerate,Sulawesi,0,1,0
celebes,Sulawesi,0,1,0
celelbes,Sulawesi,0,1,0
dumoga-bone national park,Sulawesi,0,1,0
indoensia,Sulawesi,0,1,0
indoensia sulawesi,Sulawesi,0,1,0
indoesia,Sulawesi,0,1,0
indon esia,Sulawesi,0,1,0
indonesia,Sulawesi,0,1,0
indonesia dulawesi,Sulawesi,0,1,0
indonesia sulaw esi,Sulawesi,0,1,0
indonesia sulawesi,Sulawesi,0,1,0
indonesia sulawesi: bantimoeroeng,Sulawesi,0,1,0
indonesia sulawesi: makasar,Sulawesi,0,1,0
indonesia sulawesi: makessar,Sulawesi,0,1,0
"indonesia,philippines",Sulawesi,0,1,0
indonmesia sulawesi,Sulawesi,0,1,0
kalawaranaputi,Sulawesi,0,1,0
malino,Sulawesi,0,1,0
menado,Sulawesi,0,1,0
morotai,Sulawesi,0,1,0
mount nokilalaki,Sulawesi,0,1,0
mount topidi,Sulawesi,0,1,0
noongan,Sulawesi,0,1,0
northern sulaw,Sulawesi,0,1,0
oriental region: indonesia,Sulawesi,0,1,0
palopo area,Sulawesi,0,1,0
palu,Sulawesi,0,1,0
s sulawesi,Sulawesi,0,1,0
sangi sangihe island,Sulawesi,0,1,0
solomon is indonesia sulawesi,Sulawesi,0,1,1
sulawesi,Sulawesi,0,1,0
sulawesi utara,Sulawesi,0,1,0
sulawezi,Sulawesi,0,1,0
ternate,Sulawesi,0,1,0
tondano isl,Sulawesi,0,1,0
bangka island,Sumatra,0,1,0
bukit lawang reserve,Sumatra,0,1,0
gunung leuser national park,Sumatra,0,1,0
i ndonesia sumatra,Sumatra,0,1,0
indoensia,Sumatra,0,1,0
indoensia sumatra,Sumatra,0,1,0
indoesia,Sumatra,0,1,0
indon esia,Sumatra,0,1,0
indonesai sumata,Sumatra,0,1,0
indonesia,Sumatra,0,1,0
indonesia jambi,Sumatra,0,1,0
indonesia krakatau,Sumatra,0,1,0
indonesia palau simeulue,Sumatra,0,1,0
indonesia simeulue,Sumatra,0,1,0
indonesia sumat ra,Sumatra,0,1,0
indonesia sumatra,Sumatra,0,1,0
indonesia sumatra malaysia,Sumatra,0,1,0
indonesia sumatra: ajam,Sumatra,0,1,0
indonesia sumatra: korinchi peak,Sumatra,0,1,0
"indonesia,philippines",Sumatra,0,1,0
indonesia: sumatra,Sumatra,0,1,0
japan sumatra,Sumatra,0,1,1
java sumatra,Sumatra,0,1,0
krakatau,Sumatra,0,1,0
krakatau islands,Sumatra,0,1,0
mentawai is,Sumatra,0,1,0
mentawai islands,Sumatra,0,1,0
nias,Sumatra,0,1,0
nias island,Sumatra,0,1,0
nias islands,Sumatra,0,1,0
oriental region: indonesia,Sumatra,0,1,0
oritenal region: indonesia sumatra,Sumatra,0,1,0
philippines mindanao sumatra,Sumatra,0,1,0
"philippines,sumatra",Sumatra,0,1,0
s sumatra,Sumatra,0,1,0
sebesi island,Sumatra,0,1,0
sebesi islands,Sumatra,0,1,0
siberut,Sumatra,0,1,0
siberut island,Sumatra,0,1,0
simalur,Sumatra,0,1,0
simeulue,Sumatra,0,1,0
simeulue is,Sumatra,0,1,0
simeulue isl,Sumatra,0,1,0
simeulue island,Sumatra,0,1,0
simeulue island island,Sumatra,0,1,0
simuelue,Sumatra,0,1,0
simueulue island,Sumatra,0,1,0
sipora islands,Sumatra,0,1,0
sri lanka sumatra,Sumatra,0,1,0
suban,Sumatra,0,1,0
sumatera utara,Sumatra,0,1,0
sumatra,Sumatra,0,1,0
sumatra neotype loc,Sumatra,0,1,0
sumatra thailand,Sumatra,0,1,0
sumatra: mariana islands,Sumatra,0,1,0
sumatria,Sumatra,0,1,0
sumtra,Sumatra,0,1,0
sumutra,Sumatra,0,1,0
tandi andalas,Sumatra,0,1,0
afrotropical and oritenal regions,Unknown,0,0,1
afrotropical madagascar and northern oriental regions,Unknown,0,0,1
'asia',Unknown,0,1,1
almost cosmopolitan in warm mediterranean to tropical areas,Unknown,0,1,1
almost worldwide,Unknown,0,1,1
circum-,Unknown,0,1,1
circumtropical,Unknown,0,1,1
condul,Unknown,0,1,0
cosmopolitan,Unknown,0,1,1
cosmopolite,Unknown,0,1,1
cosmopolitian,Unknown,0,1,1
cosmotropical,Unknown,0,1,1
des indes,Unknown,0,1,0
